group,context_length,prediction_length,learning_rate,num_steps,batch_size,stride,n_eval_samples,group_name,mean_quantile_loss,mean_mse,mean_mae
global,128,1,3.113813151474403e-06,1500,48,100,100,global,0.005991882178932428,0.000432582019129768,0.013926041312515736
Information Technology,96,2,4.757865681955919e-05,1500,48,100,100,Information Technology,0.0076561905443668365,0.000606046465691179,0.016991443932056427
Health Care,192,2,1.8494433914224897e-05,600,56,50,50,Health Care,0.0050421892665326595,0.0002508845354896039,0.01180917490273714
Financials,192,2,3.6919130330522424e-06,200,88,75,100,Financials,0.005995049607008696,0.0003872586530633271,0.013403629884123802
Consumer Discretionary,192,5,4.85841149653781e-05,200,96,100,200,Consumer Discretionary,0.006315031088888645,0.0004039232444483787,0.013627979904413223
Consumer Staples,256,1,4.588132396264929e-05,600,96,75,100,Consumer Staples,0.0047391741536557674,0.00021022283181082457,0.010194305330514908
Industrials,192,2,9.19203063802769e-06,1300,72,100,200,Industrials,0.00561958784237504,0.0003090767713729292,0.012660328298807144
Energy,256,4,4.9685731133303114e-05,300,8,100,50,Energy,0.006064807064831257,0.00030953428358770907,0.01331958919763565
Communication Services,128,5,2.1824625252932308e-05,1500,32,75,50,Communication Services,0.0050977664068341255,0.0002443728444632143,0.011434143409132957
Materials,64,2,4.749675495827024e-05,1300,16,75,200,Materials,0.005747497081756592,0.00028434640262275934,0.012437655590474606
Real Estate,256,4,4.533506326014935e-05,1500,8,75,150,Real Estate,0.0054474701173603535,0.00027942442102357745,0.01229081954807043
